timeout_sec,http2MaxRequests,http1MaxPendingRequests,retry_attempts,consecutive5xxErrors,reward,latency_p99_ms,latency_spread,error_rate_5xx,envoy_cpu_cores,rps_user,success_rate
1.0,500,50,0,1,0.8003941106683152,2093.6267359101826,2018.3027071267968,0.0,1.459782799885579,509.2468002720109,0.4479616563123311
2.84,100,281,0,3,0.7880713706035459,2331.391484561761,2236.8889032145285,0.0,1.5431530222457568,557.2251465589635,0.44824841459803777
2.13,100,50,0,2,0.7692637290323007,2438.8351273097796,2291.5682123162487,0.00013779883011193737,1.6879344587605039,580.5680643225729,0.4480501965758918
1.0,100,80,2,10,0.7678126651566698,3690.569395017793,3515.287440130575,6.739906989283548e-05,1.6171686527685767,593.48,0.45076497944328364
1.0,100,50,0,1,0.7513271736811112,3933.00835654597,3718.1548000606144,0.0,1.7343438386642245,611.76,0.4497255387422019
1.0,500,50,0,9,0.7958990322825621,4082.049308638915,3880.6601016600894,0.0,1.3673840947295357,594.5443276537877,0.45209899559424066
3.0,100,113,0,1,0.8016175759688202,3694.5272949323717,3522.0972428307323,6.886196211084342e-05,1.3463675170664469,580.8722083116676,0.4501445646733557
3.0,100,50,5,5,0.8020563834932202,2447.9263764561615,2336.387890967599,0.00028536403071830786,1.4235010617453434,560.6649158033679,0.45059569156416185
2.95,100,252,0,1,0.811689789803344,2301.5019554893643,2210.6939410343452,0.0002302423329029878,1.3556146670233178,521.335967618131,0.45081319396621283
1.0,100,354,3,1,0.7822611973438712,2006.8481280197602,1945.6455020937613,0.0,1.6101606335785794,460.9660514420577,0.4494966608925673
1.03,471,50,0,5,0.830326573917658,940.0757699193128,915.8184528543061,0.0,1.295524267899616,388.50966121355145,0.4502213418322566
1.0,100,500,4,1,0.8637320030559018,765.0327388608524,756.8812285662272,0.00012444487741001208,1.0391646202170628,321.4403107345925,0.45022400525869655
1.62,100,50,0,1,0.8687844057786684,560.5620901999317,553.9035154049014,0.0,1.0125759002504924,321.52020033516834,0.45110722872226156
